Gene,Reproductive_percent,Bacteraemia_percent,Prevalence_difference_percentage_points,Odds_ratio,Raw_p_value,BH_adjusted_p_value
dfrF,0,25.86,-25.86,0,0.032298796068226665,0.40349504434011496
gyrA_S83I,7.14,29.31,-22.17,0.188705392716946,0.16545627515728317,0.7065727699530515
parC_S80I,14.29,36.21,-21.92,0.2979403918246908,0.20011936814828601,0.7065727699530515
