Genome	Source	Original_GFF	Staged_GFF
GCA_050485635.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050485635.1/bacteraemia__GCA_050485635.1.gff	data/processed/core_genome/input_gffs_72/GCA_050485635.1.gff
GCA_050486705.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050486705.1/bacteraemia__GCA_050486705.1.gff	data/processed/core_genome/input_gffs_72/GCA_050486705.1.gff
GCA_050486715.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050486715.1/bacteraemia__GCA_050486715.1.gff	data/processed/core_genome/input_gffs_72/GCA_050486715.1.gff
GCA_050491675.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050491675.1/bacteraemia__GCA_050491675.1.gff	data/processed/core_genome/input_gffs_72/GCA_050491675.1.gff
GCA_050491685.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050491685.1/bacteraemia__GCA_050491685.1.gff	data/processed/core_genome/input_gffs_72/GCA_050491685.1.gff
GCA_050492125.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050492125.1/bacteraemia__GCA_050492125.1.gff	data/processed/core_genome/input_gffs_72/GCA_050492125.1.gff
GCA_050492135.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050492135.1/bacteraemia__GCA_050492135.1.gff	data/processed/core_genome/input_gffs_72/GCA_050492135.1.gff
GCA_050505635.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050505635.1/bacteraemia__GCA_050505635.1.gff	data/processed/core_genome/input_gffs_72/GCA_050505635.1.gff
GCA_050505645.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050505645.1/bacteraemia__GCA_050505645.1.gff	data/processed/core_genome/input_gffs_72/GCA_050505645.1.gff
GCA_050506665.1	Bacteraemia	local_archive/large_outputs/Phylogeny_project/phylogeny_work/01_annotations/bacteraemia/bacteraemia__GCA_050506665.1/bacteraemia__GCA_050506665.1.gff	data/processed/core_genome/input_gffs_72/GCA_050506665.1.gff
